QueryID	Number of annotations replaced	Best Match--BP Symmetric Profile IC	Best Match Similarity--BP Symmetric Profile IC	Best Match--BP Symmetric Annotation IC	Best Match Similarity--BP Symmetric Annotation IC	Best Match--BP Asymmetric Profile IC	Best Match Similarity--BP Asymmetric Profile IC	Best Match--BP Asymmetric Annotation IC	Best Match Similarity--BP Asymmetric Annotation IC	Best Match--AP Profile IC	Best Match Similarity--AP Profile IC	Best Match--AP Annotation IC	Best Match Similarity--AP Annotation IC	Best Match--BP Asymmetric Simj	Best Match Similarity--BP Asymmetric Simj	Best Match--BP Symmetric Simj	Best Match Similarity--BP Symmetric Simj	Best Match--AP Simj	Best Match Similarity--AP Simj
VTO_9009112	19	VTO_9009112	0.4275	VTO_9009112	0.6525	VTO_0034991	0.47	VTO_0034991	0.675	VTO_0059196	0.02	VTO_0033624	0.175	VTO_9031854	1	VTO_9031854	1	VTO_9022875	0.331908832
VTO_9009112	20	VTO_0034991	0.3	VTO_9009112	0.55	VTO_0034991	0.45	VTO_0034991	0.67	VTO_0060108	0.02	VTO_0033624	0.175	VTO_0034991	0.946504315	VTO_9031854	0.930161545	VTO_9022875	0.327446404
VTO_9009112	21	VTO_0034991	0.29	VTO_0034991	0.5375	VTO_0034991	0.44	VTO_0034991	0.665	VTO_9006308	0.02	VTO_0033624	0.175	VTO_0034991	0.946504315	VTO_9031854	0.851457841	VTO_9022875	0.327446404
VTO_9009112	22	VTO_0034991	0.295	VTO_0034991	0.5375	VTO_0034991	0.44	VTO_0034991	0.665	VTO_0060108	0.02	VTO_0033624	0.18	VTO_0034991	0.942286349	VTO_9031854	0.837962963	VTO_9022875	0.329825499
VTO_9009112	23	VTO_0034991	0.3	VTO_0034991	0.5425	VTO_0034991	0.45	VTO_0034991	0.675	VTO_0060108	0.02	VTO_0033624	0.18	VTO_0034991	0.942286349	VTO_9031854	0.833333333	VTO_9022875	0.329825499
VTO_9009112	24	VTO_0034991	0.3125	VTO_0034991	0.55	VTO_0034991	0.475	VTO_0034991	0.68	VTO_0060108	0.02	VTO_0033624	0.18	VTO_0034991	0.946504315	VTO_9031854	0.833333333	VTO_9022875	0.327446404
VTO_9009112	25	VTO_0034991	0.3125	VTO_0034991	0.545	VTO_0034991	0.475	VTO_0034991	0.68	VTO_0060108	0.02	VTO_0033624	0.175	VTO_0034991	0.942286349	VTO_9031854	0.803074246	VTO_9022875	0.329825499
VTO_9009112	26	VTO_0034991	0.3125	VTO_0034991	0.55	VTO_0034991	0.475	VTO_0034991	0.68	VTO_0060108	0.02	VTO_0033624	0.18	VTO_0034991	0.932420296	VTO_9031854	0.772387971	VTO_9022875	0.333333333
VTO_9009112	27	VTO_0034991	0.32	VTO_0034991	0.5475	VTO_0034991	0.49	VTO_0034991	0.685	VTO_9010598	0.02	VTO_9006145	0.17	VTO_0034991	0.942286349	VTO_0034991	0.77712608	VTO_9022875	0.334415584
VTO_9009112	28	VTO_0034991	0.32	VTO_0034991	0.545	VTO_0034991	0.49	VTO_0034991	0.68	VTO_9010598	0.02	VTO_9006145	0.18	VTO_0034991	0.946504315	VTO_0034991	0.780514727	VTO_9022875	0.333333333
VTO_9009112	29	VTO_0034991	0.32	VTO_0034991	0.55	VTO_0034991	0.49	VTO_0034991	0.68	VTO_9010598	0.02	VTO_9006145	0.175	VTO_0034991	0.946504315	VTO_0034991	0.780944465	VTO_9022875	0.335900365
VTO_9009112	30	VTO_0034991	0.3125	VTO_0034991	0.55	VTO_0034991	0.475	VTO_0034991	0.68	VTO_9010598	0.02	VTO_9016999	0.18	VTO_0034991	0.946504315	VTO_0034991	0.779784821	VTO_9022875	0.333333333
VTO_9009112	31	VTO_0034991	0.3125	VTO_0034991	0.55	VTO_0034991	0.475	VTO_0034991	0.68	VTO_9010598	0.02	VTO_9016999	0.18	VTO_0034991	0.958479671	VTO_0034991	0.784117884	VTO_9022875	0.335900365
VTO_9009112	32	VTO_0034991	0.325	VTO_0034991	0.55	VTO_0034991	0.49	VTO_0034991	0.68	VTO_9010598	0.02	VTO_0033624	0.175	VTO_0034991	0.958479671	VTO_0034991	0.784965807	VTO_9022875	0.343893107
VTO_9009112	33	VTO_0034991	0.325	VTO_0034991	0.55	VTO_0034991	0.49	VTO_0034991	0.68	VTO_9010598	0.02	VTO_0033624	0.18	VTO_0034991	0.967544437	VTO_0034991	0.790034449	VTO_9022875	0.34887936
VTO_9009112	34	VTO_0034991	0.3225	VTO_0034991	0.55	VTO_0034991	0.485	VTO_0034991	0.68	VTO_0033624	0.025	VTO_0033624	0.185	VTO_0034991	0.968081494	VTO_0034991	0.791465341	VTO_9022875	0.351419721
VTO_9009112	35	VTO_0034991	0.3175	VTO_0034991	0.55	VTO_0034991	0.485	VTO_0034991	0.68	VTO_9010598	0.02	VTO_9006145	0.18	VTO_0034991	0.968081494	VTO_0034991	0.789722565	VTO_9022875	0.343893107
VTO_9009112	36	VTO_0034991	0.325	VTO_0034991	0.55	VTO_0034991	0.49	VTO_0034991	0.68	VTO_9010598	0.02	VTO_0033624	0.18	VTO_0034991	0.968081494	VTO_0034991	0.791465341	VTO_9022875	0.335900365
VTO_9009112	37	VTO_0034991	0.3175	VTO_0034991	0.55	VTO_0034991	0.485	VTO_0034991	0.68	VTO_9010598	0.02	VTO_0033624	0.18	VTO_0034991	0.970005981	VTO_0034991	0.790813388	VTO_9022875	0.343893107
VTO_9009112	38	VTO_0034991	0.32	VTO_0034991	0.55	VTO_0034991	0.49	VTO_0034991	0.68	VTO_9010598	0.02	VTO_0033624	0.18	VTO_0034991	0.968081494	VTO_0034991	0.790884014	VTO_9022875	0.348107755
VTO_9009112	39	VTO_0034991	0.32	VTO_0034991	0.545	VTO_0034991	0.49	VTO_0034991	0.68	VTO_9010598	0.02	VTO_0033624	0.175	VTO_0034991	0.970005981	VTO_0034991	0.794200642	VTO_9022875	0.348107755
VTO_9009112	40	VTO_0034991	0.32	VTO_0034991	0.545	VTO_0034991	0.49	VTO_0034991	0.68	VTO_9010598	0.02	VTO_0038538	0.175	VTO_0034991	0.968081494	VTO_0034991	0.789324504	VTO_9022875	0.343893107
VTO_0055613	0	VTO_0055613	0.79	VTO_0055613	0.87	VTO_0055613	0.79	VTO_0055613	0.87	VTO_0059196	0.03	VTO_0059196	0.2	VTO_0055613	1	VTO_0055613	1	VTO_9022875	0.322917024
